EmployeeKey;Date;SalesAmountQuota;FirstName;LastName;HireDate;BirthDate;Gender;EmailAddress
287;2012-06-30 00:00:00.000;470000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2012-06-30 00:00:00.000;288000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2012-06-30 00:00:00.000;151000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2012-06-30 00:00:00.000;33000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2012-06-30 00:00:00.000;938000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2012-06-30 00:00:00.000;217000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2012-06-30 00:00:00.000;281000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
272;2012-09-28 00:00:00.000;58000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2012-09-28 00:00:00.000;1194000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2012-09-28 00:00:00.000;1021000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2012-09-28 00:00:00.000;1369000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2012-09-28 00:00:00.000;418000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2012-09-28 00:00:00.000;572000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2012-09-28 00:00:00.000;224000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2012-09-28 00:00:00.000;555000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2012-09-28 00:00:00.000;247000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2012-09-28 00:00:00.000;284000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2012-09-28 00:00:00.000;110000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2012-09-28 00:00:00.000;1279000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2012-09-28 00:00:00.000;404000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2012-09-28 00:00:00.000;304000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
272;2012-12-28 00:00:00.000;263000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2012-12-28 00:00:00.000;1575000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2012-12-28 00:00:00.000;1525000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2012-12-28 00:00:00.000;1171000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2012-12-28 00:00:00.000;507000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2012-12-28 00:00:00.000;950000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2012-12-28 00:00:00.000;319000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2012-12-28 00:00:00.000;935000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2012-12-28 00:00:00.000;1051000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2012-12-28 00:00:00.000;631000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2012-12-28 00:00:00.000;184000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2012-12-28 00:00:00.000;1506000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2012-12-28 00:00:00.000;1262000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2012-12-28 00:00:00.000;516000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
294;2012-12-28 00:00:00.000;132000,00;Syed;Abbas;2012-10-12;1974-08-11;M;syed0@adventure-works.com
295;2012-12-28 00:00:00.000;728000,00;Rachel;Valdez;2012-12-28;1975-02-06;F;rachel0@adventure-works.com
296;2012-12-28 00:00:00.000;478000,00;Lynn;Tsoflias;2012-12-28;1970-10-16;F;lynn0@adventure-works.com
272;2013-03-30 00:00:00.000;116000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2013-03-30 00:00:00.000;1218000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2013-03-30 00:00:00.000;1276000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2013-03-30 00:00:00.000;971000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2013-03-30 00:00:00.000;453000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2013-03-30 00:00:00.000;675000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2013-03-30 00:00:00.000;450000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2013-03-30 00:00:00.000;684000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2013-03-30 00:00:00.000;707000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2013-03-30 00:00:00.000;372000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2013-03-30 00:00:00.000;324000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2013-03-30 00:00:00.000;1419000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2013-03-30 00:00:00.000;1057000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2013-03-30 00:00:00.000;380000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
294;2013-03-30 00:00:00.000;40000,00;Syed;Abbas;2012-10-12;1974-08-11;M;syed0@adventure-works.com
295;2013-03-30 00:00:00.000;566000,00;Rachel;Valdez;2012-12-28;1975-02-06;F;rachel0@adventure-works.com
296;2013-03-30 00:00:00.000;389000,00;Lynn;Tsoflias;2012-12-28;1970-10-16;F;lynn0@adventure-works.com
272;2013-06-30 00:00:00.000;84000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2013-06-30 00:00:00.000;849000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2013-06-30 00:00:00.000;894000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2013-06-30 00:00:00.000;714000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2013-06-30 00:00:00.000;280000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2013-06-30 00:00:00.000;538000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2013-06-30 00:00:00.000;343000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2013-06-30 00:00:00.000;614000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2013-06-30 00:00:00.000;569000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2013-06-30 00:00:00.000;234000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2013-06-30 00:00:00.000;116000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2013-06-30 00:00:00.000;883000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2013-06-30 00:00:00.000;707000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2013-06-30 00:00:00.000;454000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
294;2013-06-30 00:00:00.000;7000,00;Syed;Abbas;2012-10-12;1974-08-11;M;syed0@adventure-works.com
295;2013-06-30 00:00:00.000;366000,00;Rachel;Valdez;2012-12-28;1975-02-06;F;rachel0@adventure-works.com
296;2013-06-30 00:00:00.000;399000,00;Lynn;Tsoflias;2012-12-28;1970-10-16;F;lynn0@adventure-works.com
272;2013-09-29 00:00:00.000;187000,00;Stephen;Jiang;2010-08-04;1951-05-17;M;stephen0@adventure-works.com
281;2013-09-29 00:00:00.000;869000,00;Michael;Blythe;2010-12-29;1968-07-25;M;michael9@adventure-works.com
282;2013-09-29 00:00:00.000;1124000,00;Linda;Mitchell;2010-12-29;1979-09-27;F;linda3@adventure-works.com
283;2013-09-29 00:00:00.000;947000,00;Jillian;Carson;2010-12-29;1962-03-29;F;jillian0@adventure-works.com
284;2013-09-29 00:00:00.000;390000,00;Garrett;Vargas;2010-12-29;1974-09-04;M;garrett1@adventure-works.com
285;2013-09-29 00:00:00.000;686000,00;Tsvi;Reiter;2010-12-29;1973-08-18;M;tsvi0@adventure-works.com
286;2013-09-29 00:00:00.000;390000,00;Pamela;Ansman-Wolfe;2010-12-29;1974-07-06;F;pamela0@adventure-works.com
287;2013-09-29 00:00:00.000;724000,00;Shu;Ito;2010-12-29;1943-10-08;M;shu0@adventure-works.com
288;2013-09-29 00:00:00.000;830000,00;José;Saraiva;2010-12-29;1939-07-11;M;josé1@adventure-works.com
289;2013-09-29 00:00:00.000;403000,00;David;Campbell;2010-12-29;1973-09-11;M;david8@adventure-works.com
290;2013-09-29 00:00:00.000;1000,00;Amy;Alberts;2011-11-15;1957-04-20;F;amy0@adventure-works.com
291;2013-09-29 00:00:00.000;1329000,00;Jae;Pak;2011-12-29;1967-10-16;F;jae0@adventure-works.com
292;2013-09-29 00:00:00.000;908000,00;Ranjit;Varkey Chudukatil;2011-12-29;1975-04-30;M;ranjit0@adventure-works.com
293;2013-09-29 00:00:00.000;497000,00;Tete;Mensa-Annan;2012-04-30;1977-08-05;M;tete0@adventure-works.com
294;2013-09-29 00:00:00.000;26000,00;Syed;Abbas;2012-10-12;1974-08-11;M;syed0@adventure-works.com
295;2013-09-29 00:00:00.000;627000,00;Rachel;Valdez;2012-12-28;1975-02-06;F;rachel0@adventure-works.com
296;2013-09-29 00:00:00.000;421000,00;Lynn;Tsoflias;2012-12-28;1970-10-16;F;lynn0@adventure-works.com
